subject_model,baseline,baseline_para_a,baseline_para_b,baseline_para_c,baseline_para_d,baseline_para_e
anthropic/claude-opus-4.7,4.722222222222222,6.333333333333334,4.2666666666666675,4.966666666666667,5.2333333333333325,4.066666666666667
deepseek/deepseek-v3.2,6.177777777777778,7.9,4.9,7.2333333333333325,6.566666666666667,5.4
google/gemini-3.1-pro-preview,2.9222222222222225,0.4,0.5666666666666667,0.13333333333333333,0.16666666666666666,0.1
meta-llama/llama-3.1-8b-instruct,4.166666666666667,6.033333333333333,4.9,4.633333333333334,4.066666666666666,4.366666666666666
meta-llama/llama-4-maverick,3.4,6.8,5.533333333333333,4.866666666666666,4.8,4.3
mistralai/ministral-14b-2512,4.955555555555555,8.3,6.3,6.566666666666667,6.8,6.166666666666666
mistralai/mistral-large-2411,1.8222222222222222,5.2666666666666675,4.566666666666666,4.2,1.2333333333333332,2.6
openai/gpt-5.4,3.1444444444444444,5.333333333333334,3.3333333333333335,4.9,3.5666666666666664,3.666666666666667
qwen/qwen3-235b-a22b,5.011111111111111,7.2,5.566666666666666,5.166666666666666,6.733333333333334,6.633333333333333
qwen/qwen3-8b,4.844444444444445,7.8,6.7666666666666675,6.866666666666665,7.233333333333334,6.333333333333334
